TIMESTAMP,LOAD
112005 1:00,125.8
112005 2:00,121.8
112005 3:00,117
112005 4:00,114.4
112005 5:00,113.6
112005 6:00,116.1
112005 7:00,121
112005 8:00,127.8
112005 9:00,135
112005 10:00,134.4
112005 11:00,128.7
112005 12:00,121.9
112005 13:00,113
112005 14:00,106.4
112005 15:00,101.1
112005 16:00,97.6
112005 17:00,98.8
112005 18:00,114.4
112005 19:00,122.4
112005 20:00,121.7
112005 21:00,121.2
112005 22:00,119.2
112005 23:00,114.5
122005 0:00,107.9
122005 1:00,102.2
122005 2:00,99.6
122005 3:00,99.2
122005 4:00,101.2
122005 5:00,103.9
122005 6:00,109
122005 7:00,116.9
122005 8:00,129
122005 9:00,142.2
122005 10:00,137.1
122005 11:00,121.8
122005 12:00,107.3
122005 13:00,101.2
122005 14:00,97.2
122005 15:00,94.9
122005 16:00,93.3
122005 17:00,95.5
122005 18:00,112.4
122005 19:00,121.5
122005 20:00,122.5
122005 21:00,121.9
122005 22:00,118.6
122005 23:00,111.4
132005 0:00,102.2
132005 1:00,96.7
132005 2:00,94.8
132005 3:00,95
132005 4:00,97.8
132005 5:00,103
132005 6:00,114.3
132005 7:00,130.4
132005 8:00,136.4
132005 9:00,131.3
132005 10:00,121.5
132005 11:00,111.1
132005 12:00,103.2
132005 13:00,96
132005 14:00,92.1
132005 15:00,89.3
132005 16:00,88.2
132005 17:00,92.3
132005 18:00,112.1
132005 19:00,125.7
132005 20:00,126.1
132005 21:00,122.9
132005 22:00,116.3
132005 23:00,105.9
142005 0:00,93.9
142005 1:00,84.9
142005 2:00,81.5
142005 3:00,79.9
142005 4:00,80.1
142005 5:00,83.5
142005 6:00,93.3
142005 7:00,111.8
142005 8:00,114.6
142005 9:00,105.7
142005 10:00,98.9
142005 11:00,94.8
142005 12:00,92.4
142005 13:00,89.9
142005 14:00,89
142005 15:00,87
142005 16:00,86.6
142005 17:00,90.3
142005 18:00,107.9
142005 19:00,120.5
142005 20:00,119.4
142005 21:00,114.5
142005 22:00,107.8
142005 23:00,96.9
152005 0:00,84.1
152005 1:00,75.1
152005 2:00,71.4
152005 3:00,69.8
152005 4:00,70.5
152005 5:00,74.9
152005 6:00,86.1
152005 7:00,110.5
152005 8:00,112.8
152005 9:00,101.1
152005 10:00,94.4
152005 11:00,90.8
152005 12:00,88.6
152005 13:00,87.1
152005 14:00,85.3
152005 15:00,83.8
152005 16:00,84
152005 17:00,89
152005 18:00,108.1
152005 19:00,119.4
152005 20:00,118.3
152005 21:00,114.2
152005 22:00,109.2
152005 23:00,97.9
162005 0:00,85.7
162005 1:00,77.9
162005 2:00,74.8
162005 3:00,73.7
162005 4:00,74.3
162005 5:00,78.2
162005 6:00,89
162005 7:00,113.8
162005 8:00,112.9
162005 9:00,104.5
162005 10:00,97
162005 11:00,92.5
162005 12:00,89.9
162005 13:00,87
162005 14:00,85.7
162005 15:00,84.1
162005 16:00,84.7
162005 17:00,90.2
162005 18:00,107.2
162005 19:00,118.2
162005 20:00,117.8
162005 21:00,113.9
162005 22:00,106.8
162005 23:00,94.6
172005 0:00,81.8
172005 1:00,72.8
172005 2:00,68.8
172005 3:00,67.1
172005 4:00,67.4
172005 5:00,70.7
172005 6:00,81.4
172005 7:00,107.2
172005 8:00,112.4
172005 9:00,103.3
172005 10:00,98.1
172005 11:00,94.1
172005 12:00,90.6
172005 13:00,87.1
172005 14:00,85.1
172005 15:00,83.5
172005 16:00,85.2
172005 17:00,94.4
172005 18:00,116.9
172005 19:00,129.6
172005 20:00,129.4
172005 21:00,128.8
172005 22:00,124.8
172005 23:00,117.7
182005 0:00,107.8
182005 1:00,99.1
182005 2:00,94.1
182005 3:00,91.1
182005 4:00,89.6
182005 5:00,90.7
182005 6:00,94.4
182005 7:00,100.7
182005 8:00,109.3
182005 9:00,120.1
182005 10:00,122
182005 11:00,116.7
182005 12:00,107.6
182005 13:00,101
182005 14:00,96.4
182005 15:00,93.5
182005 16:00,94.1
182005 17:00,98
182005 18:00,108.7
182005 19:00,113.4
182005 20:00,110.3
182005 21:00,108.2
182005 22:00,106
182005 23:00,101.7
192005 0:00,96.2
192005 1:00,91.8
192005 2:00,90.6
192005 3:00,92.7
192005 4:00,95.5
192005 5:00,100.4
192005 6:00,106.4
192005 7:00,116.5
192005 8:00,133.5
192005 9:00,149.3
192005 10:00,147.2
192005 11:00,132.6
192005 12:00,117.8
192005 13:00,110.5
192005 14:00,107.7
192005 15:00,105.3
